N,ell,x,I01,I02,I12,S10,S20,S12
12,2,0.1666666666666667,6.9892941146854537e-01,1.3005618551466780e-01,2.4821703875736878e-01,2.3815107202051135e-02,2.8033132195205479e-02,2.9401486683416848e-02
12,3,0.25,7.9350479974059440e-01,2.8696604428928696e-01,3.8974058350271479e-01,5.4232449833312942e-02,1.2967472801324501e-01,1.0134856370821624e-01
12,4,0.3333333333333333,8.6967867579023217e-01,4.9401931600143612e-01,5.6949163033507300e-01,9.9404216782737392e-02,3.6020512772209717e-01,2.3293196187689641e-01
12,5,0.4166666666666667,9.3679500632637058e-01,7.3744347461443116e-01,7.7734014839111532e-01,1.6282749496463311e-01,7.7622532349488793e-01,4.3987423078026455e-01
12,6,0.5,9.9999999999996758e-01,9.9999999999997469e-01,9.9999999999997025e-01,2.5055315030022868e-01,1.4446993071426391e+00,7.4468107352832580e-01
14,2,0.1428571428571428,6.6701333542919494e-01,9.6072438919955205e-02,2.1396339430227651e-01,1.7372313290616000e-02,1.5826910382781563e-02,2.0491538464827798e-02
14,3,0.2142857142857143,7.5654334398404188e-01,2.1316534710511670e-01,3.2215125833773528e-01,3.9351888643784277e-02,7.4954810566854116e-02,6.8416116640581295e-02
14,4,0.2857142857142857,8.2792288168088057e-01,3.7052388424407212e-01,4.6099227367441142e-01,7.1427159282209926e-02,2.1157440205194888e-01,1.5566422730058585e-01
14,5,0.3571428571428572,8.8963263352269517e-01,5.6079367284941606e-01,6.2544431199820272e-01,1.1526672071092176e-01,4.6028051344897825e-01,2.9145218730935341e-01
14,6,0.4285714285714285,9.4602017091520141e-01,7.7435582323505914e-01,8.0801940598869160e-01,1.7350180857131997e-01,8.5777591930880948e-01,4.8629812419459029e-01
16,2,0.125,6.4067789316613677e-01,7.3795229180247279e-02,1.9077918400947569e-01,1.3232345903556424e-02,9.5911557132260170e-03,1.5068655651367543e-02
16,3,0.1875,7.2619206576656636e-01,1.6430123644863093e-01,2.7650160138179469e-01,2.9878610501099530e-02,4.6304669089823135e-02,4.8816083025239876e-02
16,4,0.25,7.9399845610081998e-01,2.8729717007663114e-01,3.8664075625559846e-01,5.3916338514754955e-02,1.3261877504319330e-01,1.1002068600841761e-01
16,5,0.3125,8.5201797089070830e-01,4.3856832263704248e-01,5.1887452392572975e-01,8.6254789836488349e-02,2.9141466343025313e-01,2.0491117174580312e-01
16,6,0.375,9.0415607476840099e-01,6.1247651137365322e-01,6.6887356179997681e-01,1.2823438001908269e-01,5.4622493338167077e-01,3.3974390624438427e-01
18,2,0.1111111111111111,6.1840042132005890e-01,5.8443118740992617e-02,1.7424365987986201e-01,1.0417493882078188e-02,6.1408264782566689e-03,1.1537993070589427e-02
18,3,0.1666666666666667,7.0058938744054622e-01,1.3041275029731469e-01,2.4425205632416169e-01,2.3474753422438738e-02,3.0118149276808275e-02,3.6342716129588011e-02
18,4,0.2222222222222222,7.6555085149706770e-01,2.2892635428722219e-01,3.3378181110313498e-01,4.2196871129833065e-02,8.7360724951105764e-02,8.1136481834630042e-02
18,5,0.2777777777777778,8.2080157977979007e-01,3.5141687324580273e-01,4.4200836810490274e-01,6.7124940092526286e-02,1.9380532775220047e-01,1.5045976554250914e-01
18,6,0.3333333333333333,8.6996451239802930e-01,4.9440914501882283e-01,5.6639849225490702e-01,9.9024271629264526e-02,3.6569043995039885e-01,2.4855429800430728e-01
20,2,0.1,5.9919640062449897e-01,4.7415827532725441e-02,1.6193118662569361e-01,8.4151157459069932e-03,4.1071750998651745e-03,9.1203912962348373e-03
20,3,0.15,6.7855277460029018e-01,1.0596971595741134e-01,2.2056570759995053e-01,1.8936896708457406e-02,2.0414205903953615e-02,2.7985869134947362e-02
20,4,0.2,7.4115131097279585e-01,1.8651971016210234e-01,2.9490575239990369e-01,3.3950135415249667e-02,5.9875560584012590e-02,6.1878238968924797e-02
20,5,0.25,7.9419536910126287e-01,2.8741917462682487e-01,3.8500441454193490e-01,5.3796032793775962e-02,1.3400107213670298e-01,1.1427130694960112e-01
20,6,0.3,8.4110486918858651e-01,4.0641970236131497e-01,4.8939040381563026e-01,7.8945795573432606e-02,2.5452795132865647e-01,1.8827432393585081e-01
22,2,0.09090909090909091,5.8239175981545865e-01,3.9236047624763737e-02,1.5242203398344745e-01,6.9402182623143141e-03,2.8489522426970639e-03,7.3845576352457379e-03
22,3,0.1363636363636364,6.5928834388498458e-01,8.7781018109131637e-02,2.0258408271759110e-01,1.5602718242710780e-02,1.4315389482216095e-02,2.2132016313926309e-02
22,4,0.1818181818181818,7.1986618600181562e-01,1.5480269698333515e-01,2.6544911551974160e-01,2.7918421851906624e-02,4.2396579187341556e-02,4.8469930032997703e-02
22,5,0.2272727272727273,7.7107381482884807e-01,2.3920362145128404e-01,3.4159464192250910e-01,4.4116655903544147e-02,9.5642345289315756e-02,8.9128542817097034e-02
22,6,0.2727272727272727,8.1618029956683125e-01,3.3947110312733964e-01,4.3024110238539226e-01,6.4503836171574278e-02,1.8282529195623506e-01,1.4652019547686837e-01
24,2,0.08333333333333333,5.6750113508471611e-01,3.2997486227866801e-02,1.4487258438628547e-01,5.8217148892165567e-03,2.0354769476307998e-03,6.1097595638898439e-03
24,3,0.125,6.4222785837418517e-01,7.3883146752283579e-02,1.8856450794956414e-01,1.3079771448066843e-02,1.0326722898710066e-02,1.7909739596547597e-02
24,4,0.1666666666666667,7.0104332268988756e-01,1.3048001138650589e-01,2.4259616490964508e-01,2.3371297254621365e-02,3.0844898688813158e-02,3.8843390960924783e-02
24,5,0.2083333333333333,7.5068278648952358e-01,2.0202997844284676e-01,3.0788006769956011e-01,3.6855261020946016e-02,7.0085680592435667e-02,7.1116824954296456e-02
24,6,0.25,7.9429164537029395e-01,2.8747589290960152e-01,3.8405625007078914e-01,5.3739982684551386e-02,1.3476714376995966e-01,1.1665487737580603e-01
