N,D,ell,x,E0,E1,E2,gap_ratio,P0,P1,P2,I01,I02,I12,S10,S20,S12
16,14,2,0.125,-2.0404594188152132e+01,-2.0306339966187391e+01,-1.9620452966496455e+01,7.9807381909458561e+00,9.9999999973282683e-01,-9.9999993641118312e-01,9.9999961092409106e-01,6.4067764186622389e-01,7.3794768034880942e-02,1.9077818179310602e-01,1.3232329425527704e-02,9.5912461710024391e-03,1.5068507702815908e-02
16,14,3,0.1875,-2.0404594188152132e+01,-2.0306339966187391e+01,-1.9620452966496455e+01,7.9807381909458561e+00,9.9999999973282683e-01,-9.9999993641118312e-01,9.9999961092409106e-01,7.2619182162942542e-01,1.6430112548672282e-01,2.7649863238110339e-01,2.9878613134611383e-02,4.6305186977565936e-02,4.8815320080572690e-02
16,14,4,0.25,-2.0404594188152132e+01,-2.0306339966187391e+01,-1.9620452966496455e+01,7.9807381909458561e+00,9.9999999973282683e-01,-9.9999993641118312e-01,9.9999961092409106e-01,7.9399877490237003e-01,2.8729645271214999e-01,3.8663683428003459e-01,5.3916109438232766e-02,1.3262001812331198e-01,1.1001816987034931e-01
16,14,5,0.3125,-2.0404594188152132e+01,-2.0306339966187391e+01,-1.9620452966496455e+01,7.9807381909458561e+00,9.9999999973282683e-01,-9.9999993641118312e-01,9.9999961092409106e-01,8.5201812118518561e-01,4.3856650784490769e-01,5.1887155771888738e-01,8.6254887841861666e-02,2.9141381004454731e-01,2.0491011495282796e-01
16,14,6,0.375,-2.0404594188152132e+01,-2.0306339966187391e+01,-1.9620452966496455e+01,7.9807381909458561e+00,9.9999999973282683e-01,-9.9999993641118312e-01,9.9999961092409106e-01,9.0415650951890658e-01,6.1247274268643448e-01,6.6886918218757985e-01,1.2823529819974486e-01,5.4621655128074653e-01,3.3974381345009336e-01
16,14,7,0.4375,-2.0404594188152132e+01,-2.0306339966187391e+01,-1.9620452966496455e+01,7.9807381909458561e+00,9.9999999973282683e-01,-9.9999993641118312e-01,9.9999961092409106e-01,9.5287255977737617e-01,8.0217896931791222e-01,8.3125472708640258e-01,1.8186713732342646e-01,9.2251397288007020e-01,5.2207887292788813e-01
16,14,8,0.5,-2.0404594188152132e+01,-2.0306339966187391e+01,-1.9620452966496455e+01,7.9807381909458561e+00,9.9999999973282683e-01,-9.9999993641118312e-01,9.9999961092409106e-01,9.9999999999996225e-01,9.9999999999995559e-01,9.9999999999995670e-01,2.5022985917150126e-01,1.4508169340504797e+00,7.6252508494988092e-01
18,16,2,0.1111111111111111,-2.2947426325064701e+01,-2.2860104602647439e+01,-2.2250180338229331e+01,7.9847942474568203e+00,9.9999999995624522e-01,-9.9999999984960874e-01,9.9999997713600730e-01,6.1840073696966869e-01,5.8441780270005239e-02,1.7424437368461776e-01,1.0417264586244413e-02,6.1401290416925273e-03,1.1539993943504787e-02
18,16,3,0.1666666666666667,-2.2947426325064701e+01,-2.2860104602647439e+01,-2.2250180338229331e+01,7.9847942474568203e+00,9.9999999995624522e-01,-9.9999999984960874e-01,9.9999997713600730e-01,7.0058942442704808e-01,1.3041100889656310e-01,2.4424967112338880e-01,2.3474351171725711e-02,3.0117734253108385e-02,3.6345085211197850e-02
18,16,4,0.2222222222222222,-2.2947426325064701e+01,-2.2860104602647439e+01,-2.2250180338229331e+01,7.9847942474568203e+00,9.9999999995624522e-01,-9.9999999984960874e-01,9.9999997713600730e-01,7.6555201088693892e-01,2.2892337175031985e-01,3.3377743612661614e-01,4.2196277362048625e-02,8.7360301615514169e-02,8.1136477361865675e-02
18,16,5,0.2777777777777778,-2.2947426325064701e+01,-2.2860104602647439e+01,-2.2250180338229331e+01,7.9847942474568203e+00,9.9999999995624522e-01,-9.9999999984960874e-01,9.9999997713600730e-01,8.2080229801744653e-01,3.5141285189174964e-01,4.4201004124597398e-01,6.7124318938176747e-02,1.9380239684429748e-01,1.5046515701478227e-01
18,16,6,0.3333333333333333,-2.2947426325064701e+01,-2.2860104602647439e+01,-2.2250180338229331e+01,7.9847942474568203e+00,9.9999999995624522e-01,-9.9999999984960874e-01,9.9999997713600730e-01,8.6996484477697633e-01,4.9439859226852390e-01,5.6640142720098252e-01,9.9024375710434667e-02,3.6567062405321760e-01,2.4856438386043131e-01
18,16,7,0.3888888888888889,-2.2947426325064701e+01,-2.2860104602647439e+01,-2.2250180338229331e+01,7.9847942474568203e+00,9.9999999995624522e-01,-9.9999999984960874e-01,9.9999997713600730e-01,9.1523821375548065e-01,6.5356875086610922e-01,7.0355701750780275e-01,1.3899176368356950e-01,6.1980835056896311e-01,3.8000045881684186e-01
18,16,8,0.4444444444444444,-2.2947426325064701e+01,-2.2860104602647439e+01,-2.2250180338229331e+01,7.9847942474568203e+00,9.9999999995624522e-01,-9.9999999984960874e-01,9.9999997713600730e-01,9.5817149632391962e-01,8.2392654794596698e-01,8.4952777248433886e-01,1.8860137397243934e-01,9.7471765562721302e-01,5.5044996475940711e-01
20,16,2,0.1,-2.5490989037929491e+01,-2.5412408338601296e+01,-2.4863313004945706e+01,7.9876615803871625e+00,9.9999999995457189e-01,-9.9999988820410335e-01,9.9999958549137768e-01,5.9919702589249901e-01,4.7415093975520684e-02,1.6192637897881679e-01,8.4149064082394073e-03,4.1072839722916411e-03,9.1188837737571117e-03
20,16,3,0.15,-2.5490989037929491e+01,-2.5412408338601296e+01,-2.4863313004945706e+01,7.9876615803871625e+00,9.9999999995457189e-01,-9.9999988820410335e-01,9.9999958549137768e-01,6.7855327600074555e-01,1.0596838342676995e-01,2.2055587279012379e-01,1.8936397332699476e-02,2.0414677333146992e-02,2.7981478076677051e-02
20,16,4,0.2,-2.5490989037929491e+01,-2.5412408338601296e+01,-2.4863313004945706e+01,7.9876615803871625e+00,9.9999999995457189e-01,-9.9999988820410335e-01,9.9999958549137768e-01,7.4115345508165387e-01,1.8651592236445746e-01,2.9488695766591366e-01,3.3948396707192692e-02,5.9876403544545230e-02,6.1866681508220826e-02
20,16,5,0.25,-2.5490989037929491e+01,-2.5412408338601296e+01,-2.4863313004945706e+01,7.9876615803871625e+00,9.9999999995457189e-01,-9.9999988820410335e-01,9.9999958549137768e-01,7.9419572004261973e-01,2.8741464045399256e-01,3.8498111687389125e-01,5.3794837548911290e-02,1.3400174089820130e-01,1.1425697831430082e-01
20,16,6,0.3,-2.5490989037929491e+01,-2.5412408338601296e+01,-2.4863313004945706e+01,7.9876615803871625e+00,9.9999999995457189e-01,-9.9999988820410335e-01,9.9999958549137768e-01,8.4110349752087066e-01,4.0641600496313224e-01,4.8936804887180152e-01,7.8948286127228470e-02,2.5452100084956847e-01,1.8826352236818539e-01
20,16,7,0.35,-2.5490989037929491e+01,-2.5412408338601296e+01,-2.4863313004945706e+01,7.9876615803871625e+00,9.9999999995457189e-01,-9.9999988820410335e-01,9.9999958549137768e-01,8.8390708824082465e-01,5.4070286941755952e-01,6.0586211914267274e-01,1.1006218580602714e-01,4.3338696144806566e-01,2.8698810302569566e-01
20,16,8,0.4,-2.5490989037929491e+01,-2.5412408338601296e+01,-2.4863313004945706e+01,7.9876615803871625e+00,9.9999999995457189e-01,-9.9999988820410335e-01,9.9999958549137768e-01,9.2398774278313422e-01,6.8694291727837808e-01,7.3181653338936625e-01,1.4803859810855949e-01,6.8315687906155587e-01,4.1393607783198039e-01
22,18,2,0.09090909090909091,-2.8035055236928219e+01,-2.7963567760513044e+01,-2.7463609292193397e+01,7.9936511035311577e+00,9.9999999985847721e-01,-9.9997772508233473e-01,9.9982235990241919e-01,5.8236722146070474e-01,3.9204184676652210e-02,1.5244371292048631e-01,6.9349399712549317e-03,2.8541325958117460e-03,7.4194881177459503e-03
22,18,3,0.1363636363636364,-2.8035055236928219e+01,-2.7963567760513044e+01,-2.7463609292193397e+01,7.9936511035311577e+00,9.9999999985847721e-01,-9.9997772508233473e-01,9.9982235990241919e-01,6.5925674017483349e-01,8.7714258963002667e-02,2.0257395112546916e-01,1.5595037879728480e-02,1.4344848432713631e-02,2.2190730755501147e-02
22,18,4,0.1818181818181818,-2.8035055236928219e+01,-2.7963567760513044e+01,-2.7463609292193397e+01,7.9936511035311577e+00,9.9999999985847721e-01,-9.9997772508233473e-01,9.9982235990241919e-01,7.1983860869610106e-01,1.5468585881230990e-01,2.6540932073989421e-01,2.7899338653136620e-02,4.2472135347544911e-02,4.8533292029059039e-02
22,18,5,0.2272727272727273,-2.8035055236928219e+01,-2.7963567760513044e+01,-2.7463609292193397e+01,7.9936511035311577e+00,9.9999999985847721e-01,-9.9997772508233473e-01,9.9982235990241919e-01,7.7104374507728513e-01,2.3906959206316136e-01,3.4163870018977605e-01,4.4099334484970033e-02,9.5783328779505031e-02,8.9248886330833901e-02
22,18,6,0.2727272727272727,-2.8035055236928219e+01,-2.7963567760513044e+01,-2.7463609292193397e+01,7.9936511035311577e+00,9.9999999985847721e-01,-9.9997772508233473e-01,9.9982235990241919e-01,8.1614940800118152e-01,3.3939020124275521e-01,4.3049926623756241e-01,6.4504302839598904e-02,1.8304661560337704e-01,1.4679464038710704e-01
22,18,7,0.3181818181818182,-2.8035055236928219e+01,-2.7963567760513044e+01,-2.7463609292193397e+01,7.9936511035311577e+00,9.9999999985847721e-01,-9.9997772508233473e-01,9.9982235990241919e-01,8.5706469135635932e-01,4.5364328418624167e-01,5.3041916241291620e-01,8.9500388287986690e-02,3.1314376435477326e-01,2.2335154913461797e-01
22,18,8,0.3636363636363636,-2.8035055236928219e+01,-2.7963567760513044e+01,-2.7463609292193397e+01,7.9936511035311577e+00,9.9999999985847721e-01,-9.9997772508233473e-01,9.9982235990241919e-01,8.9505962730878674e-01,5.7946926968108459e-01,6.3947528136425147e-01,1.1964379761610426e-01,4.9519573369290271e-01,3.2120038068675122e-01
24,18,2,0.08333333333333333,-3.0579572891971594e+01,-3.0514101276162780e+01,-3.0056341707161248e+01,7.9917255492555732e+00,9.9999999987809762e-01,-9.9999975067170555e-01,9.9999893080396407e-01,5.6750377945879160e-01,3.2994534244603857e-02,1.4485428563148139e-01,5.8215043845282477e-03,2.0355627293929777e-03,6.1078455978510228e-03
24,18,3,0.125,-3.0579572891971594e+01,-3.0514101276162780e+01,-3.0056341707161248e+01,7.9917255492555732e+00,9.9999999987809762e-01,-9.9999975067170555e-01,9.9999893080396407e-01,6.4223044527613093e-01,7.3879539127681415e-02,1.8853848182332555e-01,1.3079155247700560e-02,1.0326876707421006e-02,1.7904405778247263e-02
24,18,4,0.1666666666666667,-3.0579572891971594e+01,-3.0514101276162780e+01,-3.0056341707161248e+01,7.9917255492555732e+00,9.9999999987809762e-01,-9.9999975067170555e-01,9.9999893080396407e-01,7.0105037667518322e-01,1.3047312437983383e-01,2.4255644396838250e-01,2.3369453796362474e-02,3.0845492636426483e-02,3.8828529940328295e-02
24,18,5,0.2083333333333333,-3.0579572891971594e+01,-3.0514101276162780e+01,-3.0056341707161248e+01,7.9917255492555732e+00,9.9999999987809762e-01,-9.9999975067170555e-01,9.9999893080396407e-01,7.5068867137598327e-01,2.0201852377371177e-01,3.0783074053756487e-01,3.6852622285772900e-02,7.0084908989409500e-02,7.1095671803281441e-02
24,18,6,0.25,-3.0579572891971594e+01,-3.0514101276162780e+01,-3.0056341707161248e+01,7.9917255492555732e+00,9.9999999987809762e-01,-9.9999975067170555e-01,9.9999893080396407e-01,7.9429199616441015e-01,2.8746678320566987e-01,3.8400461225340532e-01,5.3739176243303037e-02,1.3475635245640150e-01,1.1663696548292658e-01
24,18,7,0.2916666666666667,-3.0579572891971594e+01,-3.0514101276162780e+01,-3.0056341707161248e+01,7.9917255492555732e+00,9.9999999987809762e-01,-9.9999975067170555e-01,9.9999893080396407e-01,8.3367946762054501e-01,3.8548843338467265e-01,4.7016277667297368e-01,7.4308762218201041e-02,2.3164701484665837e-01,1.7721691225088906e-01
24,18,8,0.3333333333333333,-3.0579572891971594e+01,-3.0514101276162780e+01,-3.0056341707161248e+01,7.9917255492555732e+00,9.9999999987809762e-01,-9.9999975067170555e-01,9.9999893080396407e-01,8.7004464638399859e-01,4.9448205992320160e-01,5.6505862636589388e-01,9.8928435680098112e-02,3.6764582113608624e-01,2.5459444520617885e-01
