N,D,ell,x,E0,E1,E2,gap_ratio,P0,P1,P2,I01,I02,I12,S10,S20,S12
12,12,2,0.1666666666666667,-1.5322594661825889e+01,-1.5191507938424783e+01,-1.4278384784711731e+01,7.9657943231903836e+00,9.9999999991757582e-01,-9.9999997793769080e-01,9.9999993278183408e-01,6.9893563897465549e-01,1.3005945610576264e-01,2.4825018336583282e-01,2.3817220137849832e-02,2.8014995723159859e-02,2.9403181970473740e-02
12,12,3,0.25,-1.5322594661825889e+01,-1.5191507938424783e+01,-1.4278384784711731e+01,7.9657943231903836e+00,9.9999999991757582e-01,-9.9999997793769080e-01,9.9999993278183408e-01,7.9351100793992946e-01,2.8697704491273246e-01,3.8982218440263994e-01,5.4235492627528616e-02,1.2963510563399472e-01,1.0137063807073533e-01
12,12,4,0.3333333333333333,-1.5322594661825889e+01,-1.5191507938424783e+01,-1.4278384784711731e+01,7.9657943231903836e+00,9.9999999991757582e-01,-9.9999997793769080e-01,9.9999993278183408e-01,8.6968621434521909e-01,4.9406279629796046e-01,5.6963797019361273e-01,9.9406753881723792e-02,3.6011816899382454e-01,2.3300689637725394e-01
12,12,5,0.4166666666666667,-1.5322594661825889e+01,-1.5191507938424783e+01,-1.4278384784711731e+01,7.9657943231903836e+00,9.9999999991757582e-01,-9.9999997793769080e-01,9.9999993278183408e-01,9.3680061314911223e-01,7.3749834478841025e-01,7.7747549277842332e-01,1.6283178076481261e-01,7.7615662995913082e-01,4.4001069606275023e-01
12,12,6,0.5,-1.5322594661825889e+01,-1.5191507938424783e+01,-1.4278384784711731e+01,7.9657943231903836e+00,9.9999999991757582e-01,-9.9999997793769080e-01,9.9999993278183408e-01,9.9999999999997624e-01,9.9999999999997424e-01,9.9999999999996225e-01,2.5053903037016106e-01,1.4443387829066348e+00,7.4436907343762759e-01
14,14,2,0.1428571428571428,-1.7862804856647038e+01,-1.7750486845092649e+01,-1.6967075351909813e+01,7.9749409052124456e+00,9.9999999922542826e-01,-9.9999966498557491e-01,9.9999848445127060e-01,6.6701574363308702e-01,9.6059086677036332e-02,2.1395426755950075e-01,1.7371647289890137e-02,1.5826278815479593e-02,2.0485926625381512e-02
14,14,3,0.2142857142857143,-1.7862804856647038e+01,-1.7750486845092649e+01,-1.6967075351909813e+01,7.9749409052124456e+00,9.9999999922542826e-01,-9.9999966498557491e-01,9.9999848445127060e-01,7.5654253140395644e-01,2.1313907690143563e-01,3.2212801119088796e-01,3.9350025484888543e-02,7.4954322130209930e-02,6.8405802263031112e-02
14,14,4,0.2857142857142857,-1.7862804856647038e+01,-1.7750486845092649e+01,-1.6967075351909813e+01,7.9749409052124456e+00,9.9999999922542826e-01,-9.9999966498557491e-01,9.9999848445127060e-01,8.2792198742914058e-01,3.7049483572618591e-01,4.6095351636104986e-01,7.1426406337884787e-02,2.1159201452939486e-01,1.5564868044350633e-01
14,14,5,0.3571428571428572,-1.7862804856647038e+01,-1.7750486845092649e+01,-1.6967075351909813e+01,7.9749409052124456e+00,9.9999999922542826e-01,-9.9999966498557491e-01,9.9999848445127060e-01,8.8963257295186060e-01,5.6077099027925437e-01,6.2540868671634109e-01,1.1527356531255276e-01,4.6031184671132880e-01,2.9144481009577494e-01
14,14,6,0.4285714285714285,-1.7862804856647038e+01,-1.7750486845092649e+01,-1.6967075351909813e+01,7.9749409052124456e+00,9.9999999922542826e-01,-9.9999966498557491e-01,9.9999848445127060e-01,9.4601964389383286e-01,7.7435247118157591e-01,8.0801177101512045e-01,1.7350461356913865e-01,8.5792330537348371e-01,4.8631297674618174e-01
